sector,ocupacion,genero,edad,escolaridad,municipio,H-P-V
Comercio,trabajador,H,25-49,Primaria o Secundaria,monterrey,23853a-20/1-1
Servicios,trabajador,H,25-49,Primaria o Secundaria,santa_catarina,1859-30/3-1
Servicios,trabajador,F,25-49,Carrera técnica o preparatoria,santiago,5597814/2-1
Industria manufacturera,trabajador,H,18-24,Primaria o Secundaria,santiago,5597816/3-1
Servicios,trabajador,F,25-49,Primaria o Secundaria,santiago,5597816/2-1
Servicios,trabajador,H,60-64,Carrera técnica o preparatoria,santiago,5597816/1-1
Servicios,trabajador,H,18-24,Licenciatura,santiago,5597818/2-1
Servicios,trabajador,F,25-49,Licenciatura,santiago,5597820/1-1
Servicios,independiente,H,50-59,Licenciatura,santiago,56014-24/1-1
Servicios,trabajador,H,50-59,Licenciatura,santiago,55933-4/2-1
Servicios,trabajador,F,25-49,Licenciatura,santiago,56015-4/3-1
Servicios,trabajador,H,25-49,Carrera técnica o preparatoria,santiago,56015-4/2-1
Servicios,trabajador,H,25-49,Carrera técnica o preparatoria,monterrey,8434-16/1-1
Comercio,trabajador,H,25-49,Carrera técnica o preparatoria,santiago,55933-3/1-1
Comercio,trabajador,F,25-49,Carrera técnica o preparatoria,santiago,56014-22/2-1
Industria manufacturera,trabajador,F,50-59,Carrera técnica o preparatoria,santiago,55978-24/3-1
Servicios,trabajador,H,50-59,Carrera técnica o preparatoria,santiago,55978-24/2-1
Servicios,trabajador,F,25-49,Primaria o Secundaria,santiago,1044A-21/3-1
Servicios,trabajador,H,25-49,Primaria o Secundaria,santiago,55778-1/3-1
Gobierno,trabajador,H,60-64,Licenciatura,santiago,55975-4A/1-1
Servicios,trabajador,F,65-130,Carrera técnica o preparatoria,santiago,55699-20/1-1
Servicios,trabajador,H,25-49,Licenciatura,monterrey,8432-6/1-1
Servicios,trabajador,H,50-59,Primaria o Secundaria,santiago,55697-2/1-1
Servicios,trabajador,F,25-49,Primaria o Secundaria,santiago,3770_23/3-1
Servicios,trabajador,H,25-49,Licenciatura,santiago,3857-5/1-1
Servicios,trabajador,H,25-49,Primaria o Secundaria,santiago,3769-5/2-1
Comercio,trabajador,F,25-49,Primaria o Secundaria,santiago,3769-5/1-1
Construcción,trabajador,H,50-59,Primaria o Secundaria,santiago,379-2/1-1
Servicios,trabajador,H,25-49,Carrera técnica o preparatoria,santiago,3793-8/3-1
Servicios,trabajador,H,25-49,Carrera técnica o preparatoria,monterrey,8086-4/1-1
Servicios,trabajador,H,25-49,Carrera técnica o preparatoria,santiago,3793-2/3-1
Otro,otro,H,12-14,Carrera técnica o preparatoria,santiago,3796-2/3-1
Servicios,trabajador,H,18-24,Carrera técnica o preparatoria,santiago,3790-8/1-1
Servicios,trabajador,H,25-49,Primaria o Secundaria,santiago,055805-04/3-1
Otro,otro,F,18-24,Primaria o Secundaria,santiago,055805-04/4-1
Comercio,trabajador,F,50-59,Primaria o Secundaria,santiago,055805-10/2-1
Comercio,trabajador,H,25-49,Primaria o Secundaria,santiago,055805-10/4-1
Comercio,trabajador,F,18-24,Primaria o Secundaria,santiago,055840-08bbbb/2-1
Servicios,trabajador,H,18-24,Primaria o Secundaria,santiago,055840-08bbbb/3-1
Servicios,trabajador,H,25-49,Primaria o Secundaria,santiago,055805-18/1-1
Servicios,independiente,F,25-49,Carrera técnica o preparatoria,santiago,055805-4/3-1
Servicios,trabajador,H,25-49,Primaria o Secundaria,santiago,055805-8/3-1
Comercio,trabajador,H,18-24,Carrera técnica o preparatoria,santiago,055805-8/5-1
Comercio,trabajador,F,25-49,Carrera técnica o preparatoria,santiago,055805-8/4-1
Gobierno,trabajador,H,50-59,Primaria o Secundaria,santiago,055805-8/1-1
Servicios,trabajador,H,25-49,Carrera técnica o preparatoria,santiago,55778-9/2-3
Servicios,trabajador,H,18-24,Carrera técnica o preparatoria,santiago,55778-9/3-1
Servicios,trabajador,H,50-59,Primaria o Secundaria,santiago,55778-10/1-1
Servicios,trabajador,H,25-49,Carrera técnica o preparatoria,santiago,55778-16/2-1
Servicios,trabajador,F,25-49,Carrera técnica o preparatoria,santiago,55778-16/3-1
Industria manufacturera,trabajador,H,18-24,Primaria o Secundaria,santiago,55705-08/1-1
Servicios,independiente,H,65-130,Postgrado,santiago,056008-2/1-1
Industria manufacturera,trabajador,H,50-59,Primaria o Secundaria,santiago,055705-10/1-1
Servicios,trabajador,F,25-49,Carrera técnica o preparatoria,santiago,055705-10/3-1
Construcción,trabajador,H,65-130,Primaria o Secundaria,santiago,55790-16/1-1
Servicios,trabajador,H,25-49,Licenciatura,monterrey,8406-8/1-1
Comercio,trabajador,H,65-130,Carrera técnica o preparatoria,santiago,55789-27/1-1
Servicios,trabajador,H,65-130,Primaria o Secundaria,santiago,55783-2/1-1
Comercio,trabajador,H,25-49,Primaria o Secundaria,santiago,55790-1/1-1
Comercio,trabajador,F,65-130,Primaria o Secundaria,santiago,55790-18/1-1
Gobierno,trabajador,F,25-49,Licenciatura,monterrey,8131-10/3-1
Servicios,trabajador,F,50-59,Primaria o Secundaria,santiago,55789-1/1-1
Gobierno,trabajador,H,25-49,Licenciatura,santiago,55763-2aaaa/2-1
Transporte y comunicaciones,trabajador,F,25-49,Primaria o Secundaria,santiago,55739-2/2-1
Servicios,trabajador,F,25-49,Carrera técnica o preparatoria,santiago,55831-4/3-1
Construcción,trabajador,H,65-130,Primaria o Secundaria,santiago,55831-6/1-1
Industria manufacturera,trabajador,F,25-49,Primaria o Secundaria,santiago,55831-2/1-1
Servicios,trabajador,H,25-49,Primaria o Secundaria,santiago,55831-2/2-1
Servicios,trabajador,H,60-64,Carrera técnica o preparatoria,santiago,55725-1/3-1
Comercio,trabajador,H,25-49,Licenciatura,monterrey,8131-20/2-1
Comercio,trabajador,H,25-49,Licenciatura,monterrey,8131-20/1-1
Servicios,trabajador,F,25-49,Primaria o Secundaria,santiago,55725-4/2-1
Servicios,trabajador,H,25-49,Carrera técnica o preparatoria,santiago,55725-2/3-1
Servicios,trabajador,H,25-49,Primaria o Secundaria,santiago,55755-a-2/1-1
Transporte y comunicaciones,otro,H,25-49,Licenciatura,santiago,55913-8/3-1
Servicios,trabajador,H,25-49,Carrera técnica o preparatoria,santiago,55913-4/1-1
Industria manufacturera,trabajador,F,25-49,Carrera técnica o preparatoria,santiago,55913-10/1-1
Construcción,otro,H,25-49,Primaria o Secundaria,santiago,055713-10/2-1
Gobierno,trabajador,F,25-49,Licenciatura,santiago,55903-6/2-1
Gobierno,trabajador,H,25-49,Licenciatura,santiago,55903-6/1-1
Industria manufacturera,trabajador,F,18-24,Primaria o Secundaria,santiago,55903-22/2-1
Construcción,trabajador,H,50-59,Primaria o Secundaria,santiago,55903-22/1-1
Construcción,trabajador,H,25-49,Primaria o Secundaria,santiago,55903-4/1-1
Servicios,trabajador,H,25-49,Primaria o Secundaria,santiago,55903-4/3-1
Industria manufacturera,trabajador,F,18-24,Primaria o Secundaria,santiago,55903-4/4-1
Comercio,trabajador,H,25-49,Primaria o Secundaria,santiago,55740-2/1-1
Industria manufacturera,otro,H,60-64,Carrera técnica o preparatoria,santiago,55850-5/1-1
Servicios,trabajador,H,18-24,Carrera técnica o preparatoria,santiago,55850-10/3-1
Industria manufacturera,otro,H,50-59,Primaria o Secundaria,santiago,55850-10/1-1
Servicios,trabajador,F,50-59,Carrera técnica o preparatoria,santiago,55850-10/2-1
Servicios,trabajador,F,25-49,Primaria o Secundaria,santiago,55863-1/1-1
Servicios,trabajador,H,50-59,Primaria o Secundaria,santiago,55728-22/1-1
Servicios,trabajador,H,25-49,Primaria o Secundaria,santiago,55728-16/1-1
Servicios,trabajador,F,18-24,Carrera técnica o preparatoria,santiago,55728-16/3-1
Servicios,otro,F,25-49,Carrera técnica o preparatoria,santiago,55887-6/2-1
Servicios,trabajador,F,25-49,Carrera técnica o preparatoria,santiago,55875-4/2-1
Industria manufacturera,trabajador,H,25-49,Primaria o Secundaria,santiago,55875-3/2-1
Industria manufacturera,trabajador,F,25-49,Primaria o Secundaria,guadalupe,18249-12/2-3
Industria manufacturera,trabajador,H,25-49,Primaria o Secundaria,guadalupe,18249-12/1-1
Transporte y comunicaciones,trabajador,H,25-49,Carrera técnica o preparatoria,monterrey,8132-10/1-1
Servicios,trabajador,H,25-49,Licenciatura,santiago,55875-2/1-1
Servicios,independiente,H,25-49,Primaria o Secundaria,santiago,55892-14/1-1
Comercio,trabajador,H,25-49,Primaria o Secundaria,santiago,55892-16/1-1
Servicios,independiente,F,25-49,Licenciatura,santiago,55887-3/2-1
Servicios,independiente,H,25-49,Licenciatura,santiago,55887-3/1-1
Gobierno,trabajador,H,50-59,Licenciatura,santiago,055 8704/1-1
Servicios,trabajador,H,25-49,Carrera técnica o preparatoria,santiago,055892-06/3-1
Servicios,trabajador,H,65-130,Primaria o Secundaria,santiago,055892-06/2-1
Servicios,trabajador,F,25-49,Licenciatura,santiago,55751-2/2-1
Comercio,trabajador,F,18-24,Carrera técnica o preparatoria,santiago,55751-2/3-1
Servicios,trabajador,H,25-49,Carrera técnica o preparatoria,santiago,55905-6/1-1
Servicios,trabajador,H,50-59,Primaria o Secundaria,monterrey,8213-18/2-1
Comercio,trabajador,H,18-24,Carrera técnica o preparatoria,monterrey,8213-18/4-1
Servicios,trabajador,H,25-49,Carrera técnica o preparatoria,santiago,55905-2/2-1
Servicios,trabajador,F,50-59,Primaria o Secundaria,santiago,55731-4/1-1
Servicios,trabajador,F,25-49,Carrera técnica o preparatoria,santiago,55731-4/2-1
Servicios,trabajador,F,50-59,Primaria o Secundaria,santiago,35731-9/1-1
Servicios,trabajador,H,50-59,Primaria o Secundaria,santiago,35731-7/1-1
Servicios,trabajador,F,50-59,Carrera técnica o preparatoria,santiago,055875-6/3-1
Servicios,trabajador,F,50-59,Carrera técnica o preparatoria,santiago,055875-6/2-1
Servicios,trabajador,H,25-49,Carrera técnica o preparatoria,santiago,055875-6/4-1
Industria manufacturera,otro,H,50-59,Primaria o Secundaria,santiago,55811-7/2-1
Industria manufacturera,otro,F,25-49,Primaria o Secundaria,santiago,55750-2/1-1
Servicios,trabajador,H,15-17,Primaria o Secundaria,santiago,55750-1/3-1
Servicios,trabajador,H,25-49,Primaria o Secundaria,santiago,55750-1/1-1
Otro,otro,F,25-49,Primaria o Secundaria,santiago,55750-1/2-1
Servicios,trabajador,H,25-49,Primaria o Secundaria,monterrey,8213-22/3-1
Servicios,trabajador,H,50-59,Carrera técnica o preparatoria,santiago,55746-10/2-1
Servicios,trabajador,F,50-59,Carrera técnica o preparatoria,santiago,55808-14/2-1
Servicios,trabajador,F,60-64,Carrera técnica o preparatoria,santiago,55808-14/1-1
Servicios,trabajador,H,60-64,Primaria o Secundaria,santiago,55746-14/1-1
Servicios,trabajador,H,25-49,Carrera técnica o preparatoria,santiago,55746-14/3-1
Servicios,trabajador,H,50-59,Primaria o Secundaria,santiago,55746-6/1-1
Otro,otro,F,50-59,Primaria o Secundaria,santiago,55746-6/2-1
Servicios,trabajador,F,18-24,Primaria o Secundaria,santiago,55746-6/3-1
Servicios,trabajador,F,50-59,Carrera técnica o preparatoria,santiago,55808-8/2-1
Servicios,trabajador,H,50-59,Carrera técnica o preparatoria,santiago,55808-8/1-1
Otro,otro,F,65-130,Primaria o Secundaria,santiago,55850A-5/2-1
Servicios,trabajador,F,50-59,Carrera técnica o preparatoria,santiago,55850A-5/3-1
Comercio,trabajador,F,65-130,Primaria o Secundaria,santiago,55634-6/1-1
Gobierno,trabajador,F,50-59,Licenciatura,santiago,55634-6/2-1
Comercio,otro,H,25-49,Licenciatura,santiago,55635-6/1-1
Construcción,trabajador,H,25-49,Primaria o Secundaria,santiago,55718-12/1-1
Servicios,otro,H,25-49,Carrera técnica o preparatoria,santiago,55721-6/2-1
Servicios,trabajador,F,25-49,Carrera técnica o preparatoria,santiago,055842-12/3-1
Servicios,trabajador,H,25-49,Primaria o Secundaria,santiago,56680-1/2-1
Servicios,trabajador,F,25-49,Licenciatura,monterrey,8051-10/5-1
Servicios,trabajador,F,25-49,Primaria o Secundaria,santiago,56680-2/4-1
Servicios,trabajador,H,25-49,Primaria o Secundaria,santiago,56680-2/3-1
Construcción,trabajador,H,25-49,Primaria o Secundaria,santiago,55691-4aaaa/1-1
Servicios,trabajador,H,50-59,Primaria o Secundaria,santiago,55688-3/1-1
Servicios,trabajador,H,25-49,Carrera técnica o preparatoria,santiago,55691-4bbbb/3-1
Servicios,trabajador,H,50-59,Primaria o Secundaria,santiago,55691-4bbbb/1-1
Servicios,trabajador,H,50-59,Primaria o Secundaria,santiago,55669-3/1-1
Comercio,trabajador,F,25-49,Primaria o Secundaria,escobedo,36373-4/2-1
Comercio,trabajador,F,18-24,Primaria o Secundaria,escobedo,36373-4/3-1
Comercio,trabajador,H,25-49,Carrera técnica o preparatoria,escobedo,36373-4/1-1
Industria manufacturera,trabajador,H,25-49,Carrera técnica o preparatoria,escobedo,36223-12/1-1
Comercio,trabajador,F,18-24,Carrera técnica o preparatoria,escobedo,36274-2/2-1
Industria manufacturera,trabajador,F,25-49,Primaria o Secundaria,escobedo,36274-2/1-1
Servicios,trabajador,F,25-49,Primaria o Secundaria,escobedo,36306-10/2-1
Industria manufacturera,trabajador,H,25-49,Primaria o Secundaria,escobedo,36306-10/3-1
Servicios,trabajador,F,18-24,Primaria o Secundaria,escobedo,36306-10/4-1
Industria manufacturera,trabajador,H,50-59,Primaria o Secundaria,escobedo,36306-10/1-1
Industria manufacturera,trabajador,H,25-49,Carrera técnica o preparatoria,escobedo,36297-24/1-1
Servicios,trabajador,H,25-49,Carrera técnica o preparatoria,escobedo,36397-4/1-1
Industria manufacturera,trabajador,H,50-59,Carrera técnica o preparatoria,escobedo,36396-14/1-1
Comercio,trabajador,F,50-59,Carrera técnica o preparatoria,escobedo,36391-10/2-1
Industria manufacturera,trabajador,H,50-59,Carrera técnica o preparatoria,escobedo,36391-10/1-1
Servicios,trabajador,H,25-49,Carrera técnica o preparatoria,escobedo,36680-20/1-1
Construcción,trabajador,H,50-59,Carrera técnica o preparatoria,escobedo,36612-6/1-1
Industria manufacturera,trabajador,H,18-24,Carrera técnica o preparatoria,escobedo,36646-2/3-1
Servicios,trabajador,H,25-49,Carrera técnica o preparatoria,escobedo,36645-18/1-1
Construcción,trabajador,H,50-59,Carrera técnica o preparatoria,escobedo,36621-8/1-1
Comercio,trabajador,F,50-59,Carrera técnica o preparatoria,escobedo,36621-8/2-1
Comercio,trabajador,H,25-49,Primaria o Secundaria,monterrey,8197-4/3-1
Industria manufacturera,trabajador,H,25-49,Primaria o Secundaria,monterrey,8197-4/2-1
Servicios,trabajador,F,25-49,Carrera técnica o preparatoria,escobedo,36190-4/4-1
Servicios,trabajador,F,25-49,Carrera técnica o preparatoria,escobedo,36190-4/3-1
Servicios,independiente,H,60-64,Licenciatura,escobedo,36783-10/1-1
Servicios,trabajador,H,25-49,Carrera técnica o preparatoria,escobedo,36783-10/3-1
Transporte y comunicaciones,trabajador,H,50-59,Licenciatura,escobedo,36783-6/2-1
Comercio,trabajador,F,50-59,Carrera técnica o preparatoria,escobedo,36783-6/3-1
Comercio,trabajador,H,25-49,Carrera técnica o preparatoria,escobedo,36783-6/4-1
Servicios,trabajador,H,25-49,Carrera técnica o preparatoria,escobedo,36783-4/1-1
Construcción,trabajador,H,50-59,Carrera técnica o preparatoria,escobedo,36774-10/1-1
Servicios,trabajador,F,50-59,Primaria o Secundaria,monterrey,8197-6/2-1
Servicios,otro,H,25-49,Primaria o Secundaria,escobedo,36774-4/1-1
Servicios,trabajador,H,25-49,Licenciatura,escobedo,36823-16/1-1
Construcción,trabajador,H,50-59,Licenciatura,escobedo,36823-10/1-1
Construcción,trabajador,H,25-49,Licenciatura,escobedo,36823-6/1-1
Comercio,trabajador,H,25-49,Carrera técnica o preparatoria,escobedo,36732-2/1-1
Servicios,trabajador,H,25-49,Primaria o Secundaria,monterrey,8361-4/2-1
Servicios,independiente,H,25-49,Licenciatura,escobedo,36823-14/1-1
Servicios,trabajador,H,25-49,Licenciatura,escobedo,36732-16/1-1
Industria manufacturera,trabajador,H,25-49,Licenciatura,escobedo,36798-2/1-1
Transporte y comunicaciones,trabajador,H,50-59,Licenciatura,escobedo,36798-8/1-1
Construcción,trabajador,H,25-49,Carrera técnica o preparatoria,escobedo,36798-12/2-1
Servicios,trabajador,H,18-24,Carrera técnica o preparatoria,escobedo,36798-12/3-1
Comercio,trabajador,H,25-49,Primaria o Secundaria,escobedo,36217-2/1-1
Comercio,trabajador,F,25-49,Primaria o Secundaria,escobedo,36217-2/2-1
Transporte y comunicaciones,trabajador,H,50-59,Carrera técnica o preparatoria,escobedo,36217-4/1-1
Servicios,trabajador,H,25-49,Licenciatura,escobedo,36217-4/4-1
Servicios,trabajador,F,50-59,Carrera técnica o preparatoria,escobedo,36217-4/3-1
Servicios,trabajador,H,25-49,Primaria o Secundaria,monterrey,8361-8/2-1
Comercio,otro,F,50-59,Carrera técnica o preparatoria,escobedo,36217-14/3-1
Servicios,trabajador,H,50-59,Carrera técnica o preparatoria,escobedo,36217-14/2-1
Servicios,trabajador,F,50-59,Carrera técnica o preparatoria,escobedo,36808-2/2-1
Industria manufacturera,trabajador,H,50-59,Carrera técnica o preparatoria,escobedo,36808-4/3-1
Servicios,trabajador,H,65-130,Primaria o Secundaria,escobedo,36808-12/1-1
Transporte y comunicaciones,trabajador,H,25-49,Carrera técnica o preparatoria,escobedo,36808-12/2-1
Comercio,trabajador,H,25-49,Carrera técnica o preparatoria,escobedo,36808-14/1-1
Otro,otro,F,15-17,Primaria o Secundaria,escobedo,36808-14/3-1
Servicios,independiente,H,25-49,Licenciatura,escobedo,36808-18/1-1
Servicios,trabajador,H,25-49,Carrera técnica o preparatoria,escobedo,36218-2/1-1
Gobierno,trabajador,F,50-59,Licenciatura,escobedo,36218-4/2-1
Servicios,trabajador,H,60-64,Carrera técnica o preparatoria,escobedo,36218-4/1-1
Construcción,trabajador,H,50-59,Carrera técnica o preparatoria,escobedo,36218-14/1-1
Servicios,trabajador,F,50-59,Carrera técnica o preparatoria,escobedo,36218-14/2-1
Comercio,otro,F,25-49,Carrera técnica o preparatoria,guadalupe,18242-11/2-1
Comercio,trabajador,H,25-49,Licenciatura,guadalupe,18242-11/1-1
Servicios,trabajador,H,25-49,Carrera técnica o preparatoria,monterrey,8421-4/1-1
Industria manufacturera,trabajador,H,50-59,Carrera técnica o preparatoria,escobedo,36811-14/1-1
Industria manufacturera,trabajador,F,25-49,Carrera técnica o preparatoria,escobedo,36811-14/3-1
Gobierno,trabajador,H,25-49,Licenciatura,escobedo,36810-2/2-1
Gobierno,trabajador,F,25-49,Carrera técnica o preparatoria,escobedo,36810-2/3-1
Servicios,trabajador,F,25-49,Carrera técnica o preparatoria,escobedo,36813-4/2-1
Construcción,trabajador,H,25-49,Carrera técnica o preparatoria,escobedo,36813-4/1-1
Servicios,trabajador,H,50-59,Carrera técnica o preparatoria,monterrey,8421-6/1-1
Industria manufacturera,trabajador,H,25-49,Licenciatura,escobedo,36810-12/3-1
Servicios,trabajador,H,25-49,Licenciatura,escobedo,36813-22/1-1
Servicios,trabajador,H,50-59,Carrera técnica o preparatoria,escobedo,36813-20/1-1
Industria manufacturera,trabajador,H,25-49,Carrera técnica o preparatoria,escobedo,36813-20/3-1
Servicios,trabajador,H,25-49,Licenciatura,escobedo,36813-8/3-1
Servicios,trabajador,H,50-59,Carrera técnica o preparatoria,escobedo,36811-20/2-1
Transporte y comunicaciones,trabajador,H,25-49,Licenciatura,escobedo,36810-20/1-1
Comercio,trabajador,F,25-49,Carrera técnica o preparatoria,escobedo,36810-20/2-1
Servicios,trabajador,H,25-49,Carrera técnica o preparatoria,escobedo,36220-24/1-1
Servicios,trabajador,H,25-49,Licenciatura,escobedo,36220-20/1-1
Servicios,trabajador,H,50-59,Carrera técnica o preparatoria,escobedo,36220-2/1-1
Servicios,trabajador,F,25-49,Carrera técnica o preparatoria,escobedo,36220-14/3-1
Servicios,trabajador,F,25-49,Carrera técnica o preparatoria,escobedo,36220-18/2-1
Servicios,trabajador,H,25-49,Licenciatura,escobedo,36220-18/1-1
Otro,otro,F,25-49,Carrera técnica o preparatoria,escobedo,36816-18/2-1
Comercio,trabajador,H,25-49,Carrera técnica o preparatoria,escobedo,36816-18/1-1
Comercio,trabajador,F,25-49,Carrera técnica o preparatoria,escobedo,36816-12/2-1
Servicios,trabajador,F,25-49,Primaria o Secundaria,escobedo,36816-6/4-1
Servicios,trabajador,H,25-49,Carrera técnica o preparatoria,escobedo,36816-6/3-1
Servicios,trabajador,H,25-49,Carrera técnica o preparatoria,escobedo,36221-24/1-1
Servicios,trabajador,H,25-49,Carrera técnica o preparatoria,escobedo,36221-12/3-1
Construcción,trabajador,H,50-59,Carrera técnica o preparatoria,escobedo,36221-20/1-1
Industria manufacturera,otro,F,25-49,Carrera técnica o preparatoria,escobedo,36221-20/4-1
Comercio,trabajador,H,65-130,Primaria o Secundaria,monterrey,8071-8/1-1
Construcción,trabajador,H,25-49,Carrera técnica o preparatoria,escobedo,36221-10/3-1
Construcción,trabajador,F,25-49,Carrera técnica o preparatoria,escobedo,36221-10/4-1
Construcción,independiente,F,25-49,Licenciatura,escobedo,0326/1-1
Otro,otro,H,18-24,Carrera técnica o preparatoria,escobedo,0326/2-2
Otro,otro,H,65-130,Licenciatura,escobedo,140820-10/1-1
Gobierno,trabajador,H,25-49,Licenciatura,escobedo,140-8-6/2-1
Comercio,trabajador,F,25-49,Primaria o Secundaria,escobedo,021-28aaaa/1-1
Servicios,trabajador,H,25-49,Licenciatura,escobedo,140-8-33-45/2-1
Servicios,otro,F,65-130,Sin Instrucción,monterrey,8486-1/1-3
Gobierno,trabajador,H,25-49,Licenciatura,escobedo,140-8-001-04/1-1
Servicios,trabajador,F,25-49,Carrera técnica o preparatoria,escobedo,140-8-001-20/2-1
Servicios,independiente,H,25-49,Licenciatura,escobedo,140-8-001-20/1-1
Servicios,independiente,F,50-59,Licenciatura,escobedo,140-8-001-24/1-1
Comercio,trabajador,F,18-24,Licenciatura,escobedo,140-8-001-16/3-1
Industria manufacturera,trabajador,H,18-24,Carrera técnica o preparatoria,salinas,40813-24/3-1
Servicios,trabajador,H,50-59,Primaria o Secundaria,salinas,40813-24/1-1
Industria manufacturera,trabajador,H,15-17,Primaria o Secundaria,escobedo,023-6-38300-4/4-1
Industria manufacturera,trabajador,H,18-24,Primaria o Secundaria,escobedo,023-6-38300-4/2-1
Otro,otro,F,25-49,Primaria o Secundaria,escobedo,023-6-38300-4/1-1
Industria manufacturera,trabajador,F,18-24,Primaria o Secundaria,escobedo,023-6-38300-4/3-1
Industria manufacturera,trabajador,H,15-17,Primaria o Secundaria,escobedo,023-6-38300-6/4-1
Comercio,trabajador,H,25-49,Primaria o Secundaria,escobedo,023-6-38300-6/2-1
Industria manufacturera,trabajador,H,15-17,Primaria o Secundaria,escobedo,023-6-38300-6/5-1
Servicios,otro,H,25-49,Primaria o Secundaria,monterrey,8486-2/1-1
Industria manufacturera,trabajador,H,25-49,Primaria o Secundaria,escobedo,023-6-38300-2/2-1
Transporte y comunicaciones,trabajador,H,50-59,Primaria o Secundaria,escobedo,023-6-28300-10/1-1
Servicios,trabajador,F,25-49,Primaria o Secundaria,escobedo,023-6-28300-10/2-1
Servicios,trabajador,H,25-49,Carrera técnica o preparatoria,escobedo,023-6-28300-10/3-1
Comercio,trabajador,H,25-49,Carrera técnica o preparatoria,escobedo,023638301-04/1-1
Comercio,trabajador,H,18-24,Carrera técnica o preparatoria,escobedo,023638301-04/3-1
Comercio,trabajador,H,18-24,Carrera técnica o preparatoria,escobedo,023638301-04/5-1
Construcción,trabajador,H,25-49,Primaria o Secundaria,escobedo,023-638304-8/1-1
Servicios,trabajador,H,18-24,Primaria o Secundaria,escobedo,023-638304-8/3-1
Servicios,trabajador,H,25-49,Carrera técnica o preparatoria,escobedo,0236-38283-12/2-1
Servicios,otro,H,65-130,Primaria o Secundaria,escobedo,02363839106/1-1
Servicios,trabajador,F,25-49,Primaria o Secundaria,escobedo,38294-26/1-1
Industria manufacturera,trabajador,H,50-59,Primaria o Secundaria,escobedo,37968-7/1-1
Comercio,trabajador,F,25-49,Carrera técnica o preparatoria,escobedo,37968-6/3-1
Servicios,independiente,H,50-59,Postgrado,escobedo,0293_007_20/1-1
Servicios,trabajador,H,50-59,Primaria o Secundaria,escobedo,45166-19/1-1
Servicios,trabajador,F,50-59,Primaria o Secundaria,escobedo,45166-19/2-1
Comercio,trabajador,H,25-49,Licenciatura,escobedo,45166-17/1-1
Servicios,trabajador,F,25-49,Licenciatura,escobedo,45166-17/2-2
Comercio,trabajador,F,18-24,Carrera técnica o preparatoria,escobedo,45166-17/3-1
Industria manufacturera,trabajador,H,25-49,Licenciatura,escobedo,45166-14/2-1
Comercio,trabajador,F,25-49,Carrera técnica o preparatoria,escobedo,45166-14/1-2
Servicios,trabajador,F,25-49,Licenciatura,escobedo,45168-32/1-2
Servicios,trabajador,H,50-59,Carrera técnica o preparatoria,escobedo,45166-3/1-1
Servicios,trabajador,H,25-49,Licenciatura,escobedo,45166-3/3-1
Industria manufacturera,trabajador,H,25-49,Primaria o Secundaria,escobedo,45166-11/2-1
Servicios,trabajador,H,25-49,Primaria o Secundaria,monterrey,8246-4/3-1
Servicios,trabajador,F,25-49,Carrera técnica o preparatoria,monterrey,8246-4/4-1
Comercio,trabajador,H,25-49,Licenciatura,escobedo,45166A-2/1-1
Gobierno,trabajador,F,25-49,Licenciatura,escobedo,45168-24/2-1
Servicios,trabajador,H,25-49,Licenciatura,escobedo,45168-8/1-1
Servicios,trabajador,H,25-49,Licenciatura,escobedo,45175-22/2-1
Comercio,trabajador,H,25-49,Licenciatura,escobedo,45175-6/2-1
Comercio,trabajador,H,25-49,Carrera técnica o preparatoria,escobedo,45175-1/1-1
Servicios,trabajador,F,25-49,Licenciatura,escobedo,45175-23/1-3
Servicios,trabajador,H,25-49,Licenciatura,escobedo,45175-23/2-1
Comercio,trabajador,H,25-49,Licenciatura,escobedo,45168A-30/1-1
Servicios,trabajador,H,60-64,Primaria o Secundaria,monterrey,8246-10/1-1
Servicios,trabajador,F,25-49,Licenciatura,escobedo,45159-6/3-1
Servicios,trabajador,H,50-59,Licenciatura,escobedo,45159-6/1-1
Comercio,trabajador,H,18-24,Licenciatura,escobedo,45159-6/4-1
Industria manufacturera,trabajador,H,25-49,Carrera técnica o preparatoria,escobedo,45168A-40/1-1
Comercio,trabajador,H,25-49,Carrera técnica o preparatoria,escobedo,45168A-38/3-1
Servicios,trabajador,H,25-49,Licenciatura,escobedo,45175A-26/1-2
Servicios,trabajador,F,25-49,Licenciatura,escobedo,45175A-26/2-2
Servicios,trabajador,H,25-49,Carrera técnica o preparatoria,escobedo,45154-10/1-1
Servicios,trabajador,H,50-59,Licenciatura,escobedo,45154-11/1-1
Servicios,trabajador,H,25-49,Licenciatura,escobedo,45154-11/2-1
Servicios,trabajador,F,25-49,Licenciatura,escobedo,45154-3/3-1
Servicios,trabajador,F,60-64,Carrera técnica o preparatoria,escobedo,45154-16/1-4
Servicios,trabajador,F,18-24,Licenciatura,escobedo,45154-17/4-1
Comercio,trabajador,H,25-49,Licenciatura,escobedo,45154-17/3-1
Servicios,trabajador,H,60-64,Licenciatura,escobedo,45154-17/1-1
Construcción,trabajador,H,25-49,Licenciatura,escobedo,45154-24/1-1
Servicios,trabajador,H,25-49,Primaria o Secundaria,monterrey,8492-2/1-1
Servicios,trabajador,H,25-49,Licenciatura,escobedo,45159-11/1-1
Comercio,trabajador,H,50-59,Carrera técnica o preparatoria,escobedo,45159-12/1-2
Industria manufacturera,trabajador,F,25-49,Licenciatura,escobedo,45159-13/2-2
